IDoc_Number,Position,Buchungsdatum,Belegdatum,Bewegungsart,Materialnummer,Werk,Lagerort,Menge,Mengeneinheit,Bestellnummer,Bestellposition,Lieferant,Buchungskreis,Nettobetrag,Waehrung,Referenzbeleg,GM-Code
0000000000001001,1,20240115,20240114,101,000000000010023456,DE01,0001,5000.000,L,4500012345,00010,0001000234,DE01,7500.00,EUR,DLN-2024-001,01
0000000000001001,2,20240115,20240114,101,000000000010023457,DE01,0001,2500.000,LT,4500012345,00020,0001000234,DE01,3200.00,EUR,DLN-2024-001,01
0000000000001002,1,20240118,20240115,201,000000000010023456,DE01,0001,1200.000,L,,,,DE01,,EUR,KST-7700-001,03
0000000000001003,1,20240120,20240119,261,000000000010099001,DE02,0002,850.500,KG,,,,DE01,,EUR,FERT-ORD-555,03
0000000000001004,1,20240122,20240120,101,000000000010023456,DE01,0001,3000.000,LTR,4500012999,00010,0001000234,DE01,4500.00,EUR,DLN-2024-002,01
0000000000001005,1,20240125,20240124,102,000000000010023456,DE01,0001,500.000,L,4500012345,00010,0001000234,DE01,750.00,EUR,DLN-2024-001-REV,01
0000000000001006,1,20240128,20240127,101,000000000010088123,US03,0001,800.000,GAL,4500013001,00010,0002000111,US01,3600.00,USD,DLN-US-2024-005,01
0000000000001007,1,20240130,20240128,501,000000000010023456,DE01,0001,1500.000,L,,,,DE01,,EUR,FUEL-SPOT-001,05
0000000000001008,1,2024-02-01,2024-01-31,101,000000000010023456,DE01,0001,750.000,L,4500013100,00010,0001000234,DE01,1125.00,EUR,DLN-2024-008,01
0000000000001009,1,20240205,20240203,101,000000000010023457,GB10,0001,1200.000,L,4500013200,00010,0001000888,GB01,1500.00,GBP,DLN-UK-2024-001,01
0000000000001010,1,20240208,20240207,301,000000000010023456,DE01,0001,500.000,L,,,,DE01,,EUR,XFER-DE01-DE02,04
0000000000001011,1,20240210,20240209,101,000000000010023456,DE01,0001,abc,L,4500013300,00010,0001000234,DE01,1800.00,EUR,DLN-2024-011,01
0000000000001012,1,20240212,20240210,101,000000000010023456,DE01,0001,1000.000,,4500013400,00010,0001000234,DE01,1500.00,EUR,DLN-2024-012,01
0000000000001013,1,20240215,20240213,999,000000000010023456,DE01,0001,500.000,L,,,,DE01,,EUR,UNKNOWN-MVT,05
,,,,,,,,,,,,,,,,,
